method,quantile_loss,mean_in_quantile_loss,mean_in_quantile_pred_size,quantile_satisfied,mean_alpha,quantile_alpha,oracle_var,oracle_quantile_set_size
DKW,0.125,0.05516667291522026,1.9633333683013916,1.0,,0.125,0.125,2.0477778911590576
OrderStats,0.125,0.06058333441615105,2.032222270965576,1.0,,0.125,0.125,2.0477778911590576
RcpsBinomial,0.125,0.06058333441615105,2.032222270965576,1.0,,0.125,0.125,2.0477778911590576
VarControl,0.125,0.05516667291522026,1.9633333683013916,1.0,,0.125,0.125,2.0477778911590576
