method,quantile_loss,mean_in_quantile_loss,mean_in_quantile_pred_size,quantile_satisfied,mean_alpha,quantile_alpha,oracle_var,oracle_quantile_set_size
DKW,0.125,0.05980555713176727,2.0199999809265137,1.0,,0.125,0.125,2.0788888931274414
OrderStats,0.125,0.06247222423553467,2.0655555725097656,1.0,,0.125,0.125,2.0788888931274414
RcpsBinomial,0.125,0.06247222423553467,2.0655555725097656,1.0,,0.125,0.125,2.0788888931274414
VarControl,0.125,0.05980555713176727,2.0199999809265137,1.0,,0.125,0.125,2.0788888931274414
