method,quantile_loss,mean_in_quantile_loss,mean_in_quantile_pred_size,quantile_satisfied,mean_alpha,quantile_alpha,oracle_var,oracle_quantile_set_size
DKW,0.125,0.09236110746860504,1.7388888597488403,1.0,,0.125,0.125,1.7999999523162842
OrderStats,0.125,0.09805555641651154,1.7844444513320923,1.0,,0.125,0.125,1.7999999523162842
RcpsBinomial,0.125,0.09805555641651154,1.7844444513320923,1.0,,0.125,0.125,1.7999999523162842
VarControl,0.125,0.09236110746860504,1.7388888597488403,1.0,,0.125,0.125,1.7999999523162842
