method,quantile_loss,mean_in_quantile_loss,mean_in_quantile_pred_size,quantile_satisfied,mean_alpha,quantile_alpha,oracle_var,oracle_quantile_set_size
DKW,0.032914590835571286,0.016432825941592455,7.540266656875611,1.0,,0.048994976282119754,0.017839157581329347,3.9417333364486695
LttHB,0.02587939500808716,0.01201328868046403,5.781288909912109,1.0,0.04348050430417061,0.4348050430417062,0.017839157581329347,3.9417333364486695
OrderStats,0.02286430597305298,0.01039140522480011,5.135777711868286,1.0,,0.02587939500808716,0.017839157581329347,3.9417333364486695
