method,quantile_loss,mean_in_quantile_loss,mean_in_quantile_pred_size,quantile_satisfied,oracle_var,oracle_quantile_set_size
DKW,0.021309761330485344,0.000316134886816144,407.1406555175781,1.0,0.29032260179519653,98.40250396728516
OrderStats,0.07347820699214935,0.0020484474953264,138.731201171875,1.0,0.29032260179519653,98.40250396728516
RcpsHB,0.016666650772094727,0.00015260100190062076,481.82171630859375,1.0,0.29032260179519653,98.40250396728516
