method,quantile_loss,mean_in_quantile_loss,mean_in_quantile_pred_size,quantile_satisfied,mean_alpha,quantile_alpha,oracle_var,oracle_quantile_set_size
DKW,0.9315463900566101,0.7666029334068298,483.6643371582031,1.0,,0.9863013625144958,0.5,127.10585021972656
LttHB,0.534852147102356,0.08700773864984512,123.72840881347656,1.0,0.17219895124435425,1.721989512443543,0.5,127.10585021972656
OrderStats,0.519067108631134,0.1323188692331314,136.13369750976562,1.0,,0.8910505771636963,0.5,127.10585021972656
