method,quantile_loss,mean_in_quantile_loss,mean_in_quantile_pred_size,quantile_satisfied,mean_alpha,quantile_alpha,oracle_var,oracle_quantile_set_size
DKW,0.43718594312667847,0.2539921998977661,102.0888900756836,1.0,,0.4924623370170593,0.13316583633422852,19.823333740234375
LttHB,0.5100502371788025,0.044533781707286835,6.502222061157227,1.0,0.09400753676891327,0.9400753676891329,0.13316583633422852,19.823333740234375
OrderStats,0.23366832733154297,0.10227246582508087,41.704444885253906,1.0,,0.356783926486969,0.13316583633422852,19.823333740234375
