method,quantile_loss,mean_in_quantile_loss,mean_in_quantile_pred_size,quantile_satisfied,mean_alpha,quantile_alpha,oracle_var,oracle_quantile_set_size
DKW,0.12987011671066284,0.04496118798851967,9.44444465637207,1.0,,0.19333332777023315,0.12387388944625854,7.836666584014893
LttHB,0.1513158082962036,0.02746078372001648,6.199999809265137,1.0,0.04705933853983879,0.470593385398388,0.12387388944625854,7.836666584014893
OrderStats,0.12820512056350708,0.04165320098400116,8.960000038146973,1.0,,0.15789473056793213,0.12387388944625854,7.836666584014893
